	sch	sch_date	wmo	wmo_date	delta_days	station	min_date	max_date	records	latitude	longitude	station_name
3646	NA	NA	NA	NA	NA	0-20000-0-98336	1979-02-08	1979-02-08	1	1.0	16.280000686645508	122.12
3647	XXX 	1991-04-23	NA	1900-01-01	-1	0-20000-0-15730	1966-10-25	1991-04-24	10754	41.630001068115234	25.399999618530273	KURDJALI
3648	NA	NA	NA	NA	NA	0-20000-0-41517	2002-06-05	2019-07-30	40	40.0	35.29999923706055	75.68
3649	99	1977-09-17	99	1977-09-17	0	0-20000-0-98630	1949-04-01	1987-09-01	6412	10.854000091552734	121.00800323486328	CUYO
3650	14	2002-07-24	14	2002-07-24	0	0-20000-0-98333	2002-07-24	2002-07-25	2	15.770000457763672	121.56999969482422	BALER
3651	14	1978-12-30	14	1978-12-30	0	0-20000-0-44277	1970-05-28	2013-11-07	16036	46.400001525878906	96.25	ALTAI
3652	NA 	1978-12-29	11	1980-02-27	425	0-20000-0-03214	1969-11-17	2000-07-20	9044	54.31999969482422	-3.4000000953674316	WALNEY ISLAND
3653	H9G 	2006-12-31	132	2014-05-25	2701	0-20000-0-59758	1956-08-20	2021-12-31	60016	20.0	110.41999816894531	HAIKOU
3654	-922	1978-12-19	99	1981-08-06	961	0-20000-0-12935	1973-03-28	1993-10-31	85	46.900001525878906	18.049999237060547	SIOFOK
3655	NA 	1978-12-29	11	1979-01-03	5	0-20000-0-78862	1942-01-30	1997-10-19	22025	17.1200008392334	-61.779998779296875	VC BIRD INT'L AIRPORT ANTIGUA
3656	RuN 	2001-11-25	115	2012-04-11	3790	0-20000-0-33658	1949-09-03	2018-04-18	50422	48.27000045776367	25.969999313354492	Chernivtsi
3657	C2  	1994-04-12	10	1994-04-13	0	0-20000-0-97372	1954-07-01	2022-01-08	37791	-10.170000076293945	123.66999816894531	KUPANG/ELTARI
3658	XXX 	1990-02-21	99	1990-02-22	1	0-20000-0-59838	1957-11-01	1993-12-22	12082	19.1299991607666	108.62999725341797	DONGFANG
3659	H9G 	2007-01-31	132	2014-05-25	2671	0-20000-0-57749	1956-08-20	2021-12-31	46380	27.566999435424805	110.0	HUAIHUA
3660	XXX 	2006-12-31	NA	1900-01-01	-1	0-20000-0-57036	1934-09-20	2007-01-07	38989	34.29999923706055	108.93299865722656	XI'AN
3661	XXX 	1992-02-19	28	1992-06-26	127	0-20000-0-37860	1946-12-01	2016-09-14	14216	40.400001525878906	50.099998474121094	MASHTAGA
3662	XXX 	2002-09-29	133	2014-10-10	4393	0-20000-0-59948	1956-08-20	2020-01-14	27515	18.229999542236328	109.52999877929688	SANYA
3663	RZW 	2009-01-02	88	2009-11-19	321	0-20000-0-20674	1934-11-08	2022-01-08	53897	73.5	80.4000015258789	OSTROV DIKSON
3664	VNg 	1978-12-29	80	2006-11-24	10192	0-20000-0-17281	1953-01-30	2021-12-31	35719	37.91999816894531	40.20000076293945	DIYARBAKIR-BOLGE
3665	NA 	1945-11-28	NA 	1945-11-28	0	0-20000-0-78313	1943-11-02	1981-02-23	1069	22.06999969482422	-84.1500015258789	ISABEL RUBIO, PINAR DEL RIO
3666	XXX 	2004-10-10	56	2006-10-11	730	0-20000-0-44288	1970-06-04	2013-10-29	15221	46.27000045776367	102.77999877929688	ARVAIHEER
3667	-922	1978-12-29	99	1978-12-30	1	0-20000-0-60107	1969-10-18	1993-06-30	7680	35.18000030517578	-3.8499999046325684	AL HOCEIMA
3668	WRR 	1989-12-04	NA	1900-01-01	-1	0-20000-0-38954	1950-01-09	1994-07-09	35767	37.5	71.5	KHOROG
3669	NA	NA	NA	NA	NA	0-20000-0-47740	1990-01-28	1990-01-28	1	1.0	36.18000030517578	133.33
3670	NA	NA	NA	NA	NA	0-20000-0-60410	1980-08-01	1995-12-30	5	5.0	36.52000045776367	1.3
3671	NA	NA	NA	NA	NA	0-20000-0-66450	1980-08-18	2014-10-23	4	4.0	-16.600000381469727	11.72
3672	-922	1979-03-07	99	1980-11-14	618	0-20000-0-38705	1979-03-07	1993-08-22	15	39.47999954223633	67.5999984741211	PENDZHIKENT
3673	-922	1978-12-29	99	1980-01-04	371	0-20000-0-60115	1944-03-19	2002-11-22	20811	34.75	-1.9199999570846558	OUJDA
3674	NA 	1974-05-19	NA 	1974-05-19	0	0-20000-0-72519	1938-10-01	1980-08-01	26095	43.117000579833984	-76.11699676513672	SYRACUSE/HANCOCK, NY.
3675	NA 	1978-12-28	99	1982-04-18	1207	0-20000-0-60127	1945-10-21	1983-07-29	4657	34.20000076293945	-4.179999828338623	TAZA
3676	RPA 	2011-07-14	90	2011-11-15	124	0-20000-0-33837	1925-08-17	2022-01-08	53224	46.43000030517578	30.770000457763672	Odesa
3677	NA	NA	NA	NA	NA	0-20000-0-84202	1980-08-01	1980-08-01	1	1.0	-2.119999885559082	-79.6
3678	-922	1978-12-28	99	1980-02-18	416	0-20000-0-60150	1944-11-01	2001-07-03	7455	33.900001525878906	-5.46999979019165	MEKNES
3679	NA 	1955-06-16	NA 	1955-06-16	0	0-20000-0-87784	1946-01-01	1980-09-26	850	-40.75699996948242	-65.03099822998047	SAN ANTONIO OESTE AERO
3680	NA	NA	NA	NA	NA	0-20000-0-94474	1980-08-26	1980-08-26	1	1.0	-26.280000686645508	132.12
