#primary_id	ncar_flag	igra2_flag	bufr_flag
# bufr		FORT BENNING, GA (ARMY)		32.2		-84.5		1971-01-15		1971-01-15
# igra2		-		-		-		-		-
0-20000-0-6448           	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-22802          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_22802.txt	/raid60/scratch/federico/databases/IGRAv2//RSM00022802-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.22802.bfr
# ncar		SORTAVALA		61.72		30.72		1950-03-31		1991-01-10
# bufr		SORTAVALA		61.72		30.72		1958-01-01		1978-12-31
# igra2		SORTAVALA		61.717		30.717		1920-01-01		1990-12-31
0-20000-0-29759          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-3860           	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-60295          	1                        	-1                       	-1                       	-1                       /raid60/scratch/federico/databases/UADB//uadb_windc_60295.txt	-1	-1
# ncar		BIR MOGHREIN		25.23		348.38		1953-03-01		1956-10-31
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-17115          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-72501          	1                        	1                        	-1                       	-1                       /raid60/scratch/federico/databases/UADB//uadb_windc_72501.txt	/raid60/scratch/federico/databases/IGRAv2//USM00072501-data.txt	-1
# ncar		UPTON, NY.		40.87		287.13		1994-09-02		2019-03-31
# bufr		-		-		-		-		-
# igra2		UPTON, NY.		40.865		-72.863		1994-01-01		2019-12-31
0-20000-0-74468          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-37531          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
