	station_id	WMO_id	station_name	latitude	longitude
389	5423	-999	Adalvik	66.3	-23.1
390	5424	-999	Akureyri	65.7	-18.0
391	5425	-999	Reykjavik	64.1	-21.9
392	5426	-999	Agra	27.15	77.95
393	5427	-999	Ahmedabad	23.07	72.63
394	5428	-999	Allahabad	25.43	81.73
395	5429	-999	Bahrein	26.27	50.63
396	5430	-999	Bangalore	12.95	77.67
397	5431	-999	Bhuj	23.28	69.67
398	5432	-999	Car Nicobar	9.15	92.82
399	5433	-999	Chattagram	22.25	91.82
400	5434	-999	Chennai	13.07	80.25
401	5435	-999	Colombo	6.93	79.85
402	5436	-999	Dalbandin	28.87	64.4
403	5437	-999	Dawei	14.1	98.2
404	5438	-999	Dhaka	23.7	90.4
405	5439	-999	Dhubri	26.02	89.99
406	5440	-999	Dinjan	27.56	95.25
407	5441	-999	Gaya	24.75	84.95
408	5442	-999	Gwalior	26.23	78.17
409	5443	-999	Hyderabad	17.45	78.47
410	5444	-999	Jabalpur	23.18	80.05
411	5445	-999	Jacobabad	28.28	68.45
412	5446	-999	Jamshedpur	22.81	86.17
413	5447	-999	Jiwani	25.05	61.75
414	5448	-999	Jodhpur	26.25	73.05
415	5449	-999	Kankroli/ Rajsamand	25.05	73.88
416	5450	-999	Karatschi	24.88	67.12
417	5451	-999	Kawthaung	9.98	98.55
418	5452	-999	Kolkata	22.65	88.45
419	5453	-999	Lahore	31.62	74.4
420	5454	-999	Malegaon	20.57	74.53
421	5455	-999	Maliku	8.28	73.05
422	5456	-999	Mandalay	21.97	96.08
423	5457	-999	Mangalore/ Mangaluru	12.98	74.88
424	5458	-999	Mannar	8.98	79.92
425	5459	-999	Multan	30.23	71.42
426	5460	-999	Mumbai	19.08	72.87
427	5461	-999	Myeik	12.43	98.6
428	5462	-999	New Dehli	28.63	77.2
429	5463	-999	Peshawar	34.0	71.52
430	5464	-999	Port Blair	11.65	92.73
431	5465	-999	Pune	18.58	73.92
432	5466	-999	Sambalpur	21.47	83.98
433	5467	-999	Sharjah	25.25	55.37
434	5468	-999	Sittwe	20.13	92.87
435	5469	-999	Tezpur	26.67	92.82
436	5470	-999	Thandwe	18.47	94.37
437	5471	-999	Thiruvananthapuram	8.48	76.92
438	5472	-999	Tiruchirappalli	10.77	78.7
439	5473	-999	Vengurla	15.85	73.63
440	5474	-999	Veraval	20.92	70.35
441	5475	-999	Visakhapatnam	17.72	83.22
442	5476	-999	Yangon	16.9	96.13
443	5477	-999	Zhob	31.35	69.47
444	5478	-999	Wien	48.2	16.37
445	5479	-999	Kjeller	59.97	11.03
446	5480	-999	Wien	48.2	16.37
447	5481	-999	Wien	48.2	16.37
448	5482	-999	Kingston	17.98	-76.8
449	5483	-999	Drama	41.15	24.15
450	5484	-999	Hudova	41.35	22.45
451	5488	-999	Jakarta	-6.18	106.83
452	5489	-999	Jakarta	-6.18	106.83
453	5490	-999	Depok	-6.37	106.83
454	5491	-999	Pasar Rebo	-6.33	106.87
455	5492	-999	Abisko	68.26	18.8
456	5497	-999	Little America I	-78.57	-163.93
457	5498	-999	Little America I	-78.57	-163.93
458	5500	-999	Kaduna	10.48	7.42
459	5501	-999	Apia	-13.82	-171.77
460	5503	-999	Ilmala	60.2	24.92
461	5503	-999	Ilmala	60.2	24.92
462	5505	-999	Ilmala	60.2	24.92
463	5506	-999	Kajaani	64.22	27.73
464	5506	-999	Kajaani	64.22	27.73
465	5510	-999	Kemijärvi	66.72	27.42
466	5511	-999	Laajalahti	63.77	23.0
467	5513	-999	Lieksa	63.32	30.5
468	5517	-999	Sodankylä	67.37	26.65
469	5517	-999	Sodankylä	67.37	26.65
470	5520	-999	Suur-Merijoki	60.57	28.63
471	5523	-999	Turkinsaari	60.65	28.62
472	5523	-999	Turkinsaari	60.65	28.62
473	5525	-999	Utö	59.78	21.37
474	5529	-999	Viipuri	60.72	28.73
475	5529	-999	Viipuri	60.72	28.73
476	5532	-999	Little America	-78.5	-163.8
477	5533	-999	Martinique	14.63	-61.02
478	5534	-999	Bogra	24.83	89.37
479	5536	-999	Chittagong	22.25	91.82
480	5537	-999	Chor	25.52	69.78
481	5538	-999	Cox's Bazar	21.45	91.97
482	5539	-999	Dalbandin	28.87	64.4
483	5540	-999	Dhaka	23.7	90.4
484	5541	-999	Drosh	35.55	71.8
485	5542	-999	Ft. Sandeman	31.35	69.47
