primary_id	file
0-20000-0-07481	CC_FR__Network_M__Code_000__StationId_07481__Latitude_45.7264__Longitude_5.0778__Elev_250.0__dummy_nan__StationName_LYON-ST EXUPERY__From_1975__To_2011__Nrec_35372__
0-20000-0-07510	CC_FR__Network_M__Code_000__StationId_07510__Latitude_44.8306__Longitude_-0.6914__Elev_51.0__dummy_nan__StationName_BORDEAUX MERIGNAC__From_1920__To_2020__Nrec_61382__
0-20000-0-07577	CC_FR__Network_M__Code_000__StationId_07577__Latitude_44.583__Longitude_4.733__Elev_74.0__dummy_nan__StationName_MONTELIMAR__From_1973__To_1976__Nrec_189__
0-20000-0-07602	CC_FR__Network_M__Code_000__StationId_07602__Latitude_43.467__Longitude_-1.533__Elev_71.0__dummy_nan__StationName_BIARRITZ__From_1973__To_1976__Nrec_1055__
0-20000-0-07603	CC_FR__Network_M__Code_000__StationId_07603__Latitude_43.683__Longitude_-1.067__Elev_33.0__dummy_nan__StationName_DAX__From_1973__To_1977__Nrec_328__
0-20000-0-07607	CC_FR__Network_M__Code_000__StationId_07607__Latitude_43.917__Longitude_-0.5__Elev_60.0__dummy_nan__StationName_MONT-DE-MARSAN__From_1974__To_1976__Nrec_166__
0-20000-0-07627	CC_FR__Network_M__Code_000__StationId_07627__Latitude_43.0__Longitude_1.1__Elev_412.0__dummy_nan__StationName_SAINT GIRONS__From_1974__To_1976__Nrec_158__
0-20000-0-07630	CC_FR__Network_M__Code_000__StationId_07630__Latitude_43.633__Longitude_1.367__Elev_154.0__dummy_nan__StationName_TOULOUSE BLAGNAC__From_1973__To_1984__Nrec_1937__
0-20000-0-07645	CC_FR__Network_M__Code_000__StationId_07645__Latitude_43.8569__Longitude_4.4064__Elev_60.0__dummy_nan__StationName_NIMES-COURBESSAC__From_1949__To_2020__Nrec_56147__
0-20000-0-07684	CC_FR__Network_M__Code_000__StationId_07680__Latitude_43.417__Longitude_6.75__Elev_6.0__dummy_nan__StationName_SAINT-RAPHAEL__From_1982__To_1982__Nrec_230__
0-20000-0-07690	CC_FR__Network_M__Code_000__StationId_07690__Latitude_43.65__Longitude_7.2__Elev_4.0__dummy_nan__StationName_NICE__From_1973__To_1999__Nrec_437__
0-20000-0-07761	CC_FR__Network_M__Code_000__StationId_07761__Latitude_41.9181__Longitude_8.7928__Elev_6.0__dummy_nan__StationName_AJACCIO__From_1951__To_2020__Nrec_46485__
0-20000-0-08001	CC_SP__Network_M__Code_000__StationId_08001__Latitude_43.3658__Longitude_-8.4214__Elev_58.0__dummy_nan__StationName_LA CORUNA__From_1958__To_2020__Nrec_39222__
0-20000-0-08023	CC_SP__Network_M__Code_000__StationId_08023__Latitude_43.4911__Longitude_-3.8006__Elev_52.0__dummy_nan__StationName_SANTANDER__From_1973__To_2020__Nrec_22385__
0-20000-0-08055	VIRGEN DEL CAM__From_1973__To_1976__Nrec_200__
0-20000-0-08084	AGONCILLO__From_1973__To_1977__Nrec_349__
0-20000-0-08140	VILLANUB__From_1973__To_1976__Nrec_206__
0-20000-0-08160	BASE AEREA__From_1958__To_2015__Nrec_19731__
0-20000-0-08190	CC_SP__Network_M__Code_000__StationId_08190__Latitude_41.3844__Longitude_2.1181__Elev_95.0__dummy_nan__StationName_BARCELONA SERVEI__From_2007__To_2020__Nrec_8526__
0-20000-0-08202	MATACAN__From_1974__To_1976__Nrec_173__
0-20000-0-08301	CC_SP__Network_M__Code_000__StationId_08301__Latitude_39.55__Longitude_2.617__Elev_6.0__dummy_nan__StationName_PALMA DE MALLORCA__From_1988__To_2002__Nrec_9948__
0-20000-0-08302	CC_SP__Network_M__Code_000__StationId_08302__Latitude_39.6058__Longitude_2.7067__Elev_41.0__dummy_nan__StationName_MALLORCA-SON BONET__From_1958__To_2020__Nrec_26533__
0-20000-0-08314	MAHON__From_1974__To_1976__Nrec_165__
0-20000-0-08430	CC_SP__Network_M__Code_000__StationId_08430__Latitude_38.0019__Longitude_-1.1708__Elev_61.0__dummy_nan__StationName_MURCIA__From_1984__To_2020__Nrec_24394__
0-20000-0-08433	SAN JAVIER__From_1973__To_1980__Nrec_1000__
0-20000-0-08508	CC_PO__Network_M__Code_000__StationId_08508__Latitude_38.7678__Longitude_-27.0856__Elev_73.0__dummy_nan__StationName_LAJES (ACORES)__From_1946__To_2020__Nrec_56591__
0-20000-0-08522	CC_PO__Network_M__Code_000__StationId_08522__Latitude_32.6333__Longitude_-16.9__Elev_58.0__dummy_nan__StationName_FUNCHAL__From_1948__To_2020__Nrec_29077__
0-20000-0-08535	GEOFISICO__From_1939__To_1944__Nrec_669__
0-20000-0-08545	PEDRAS RUBRAS__From_1973__To_1981__Nrec_1615__
0-20000-0-08548	CC_PO__Network_M__Code_000__StationId_08549__Latitude_40.2__Longitude_-8.417__Elev_140.0__dummy_nan__StationName_COIMBRA__From_1973__To_1975__Nrec_458__
0-20000-0-08554	AEROPORTO__From_1973__To_1983__Nrec_1831__
0-20000-0-08579	GAGO COUTINHO__From_1948__To_2020__Nrec_41531__
0-20000-0-08589	CC_CV__Network_M__Code_000__StationId_08589__Latitude_14.9__Longitude_-23.517__Elev_27.0__dummy_nan__StationName_PRAIA__From_1974__To_2006__Nrec_123__
0-20000-0-08594	CC_CV__Network_M__Code_000__StationId_08594__Latitude_16.7419__Longitude_-22.9489__Elev_54.1__dummy_nan__StationName_SAL__From_1950__To_2019__Nrec_17887__
0-20000-0-10046	HOLTENAU__From_1969__To_1994__Nrec_15248__
0-20000-0-10113	CC_GM__Network_M__Code_000__StationId_10113__Latitude_53.7139__Longitude_7.1525__Elev_11.0__dummy_nan__StationName_NORDERNEY__From_2011__To_2020__Nrec_6133__
