sensor_id,comment
DGA,"  DGA Germany Graw DFM90 radiosonde auto rad corr, RDF wind {1990} 31313=45002^ (DFM = Digital, Flexible, Modular) (W3=50) <F=T402-406DL,P=Ac,T=TB,U=A,W=Ra(or W=Da)>"
DGB,"  DGB Germany Graw DFM97 radiosonde {1998} WMO instr=54^ (W3=54) <F=T402-406DL,P=Ac(or P=0),T=TB,U=A,W=Ra(or W=Da)>"
DGC,"  DGC Germany Graw H38 radiosonde, P correction table {1947}^ <P=A,T=B,U=H>"
DGD,"  DGD Germany Graw E084 low level Temperatursonde {1977} Sprenger is WMO instr=40^ (W3=40) <F=T405-L,T=TB(fm)>"
DGE,"  DGE Germany Graw E085 radiosonde {1977} Sprenger is WMO instr=41^ (W3=41) <F=T405FS,T=TBd(fm),U=C(VIZ,am)>"
DGF,  DGF Germany Graw E086 radiosonde {~ 1980s} Sprenger is WMO instr=42^ (W3=42)
DGG,"  DGG Germany Graw DFM97 GPS radiosonde, P optional {1998} WMO instr=54^ (W3=54) <F=T402-406DL,P=Ac(or P=0),T=TB,U=A,N=GC>"
DGH,"  DGH Germany Graw H60 radiosonde 27 or 153 MHz {1960?}^ <F=T(27 or 153)ME,P=2A,T=BS,U=Hr>"
DGI,"  DGI Germany Graw DFM97 improved GPS sonde, P optional, auto rad corr {~2003} 31313=45408^ (W3=54)"
DGJ,"  DGJ Germany Graw DFM97 improved GPS sonde, P optional, auto solar corr {~2003} 31313=55408^ (W3=54) <F=T402-406DL,P=Ac(or P=0),T=TB,U=A,N=GC>"
DGK,"  DGK Germany Graw DFM97 improved humidity sensor, auto solar corr {200510} 31313=45408^ (W3=54) <F=T402-406DL,P=Ac(or P=0),T=TB,U=A,N=GC>"
DGL,"  DGL Germany Graw DFM97 improved humidity sensor, auto solar corr {200510} 31313=55408^ (W3=54) <F=T402-406DL,P=Ac(or P=0),T=TB,U=A,N=GC>"
DGM,"  DGM Germany Graw DFM06-TU-GPS radiosonde {2006} 31313=51808 or 51708^ <F=T402-406DL,P=0,T=TB,U=A,N=GC>"
DGN,"  DGN Germany Graw DFM-09 radiosonde {2010} (31313=41708)^ <F=T402-406DL,P=0,T=TB,U=A,N=GC>"
DGP,"  DGP Germany Graw P54 Peilsender (transponder) radiosonde {1962}^ <F=V95ME,P=A,T=B,U=Ha(?),W=Ta)>"
DGQ,"  DGQ Germany Graw E076 high-altitude radiosonde {1976} Sprenger is WMO instr=39^ (W3=39) with VIZ carbon sensor <F=T405FS,P=A(fm),T=TBd(fm),U=C(VIZ,am)>"
DGR,"  DGR Germany Graw M60 ""Registration"" radiosonde 403 MHz {1960} 31313=41902^ (W2=07 from 197909 to 198505, W3=19, T=051) <F=T403ME,P=2A,T=BS,U=Hr>"
DGS,"  DGS Germany Graw G120 fast humidity sensor radiosonde {1960s}^  <F=T?ME,P=2A,T=BS,U=Hr>"
DGT,"  DGT Germany Graw H50 radiosonde with rolled hair {1951}^ <F=V90-93ME,P=A,T=BS,U=Hr(later U=Ha)>"
DGX,  DGX Germany Graw M60 radiosonde unspecified model^
DG_,"  DG_ Germany Graw unspecified model {1938} WMO instr=17^ (W3=17, T=052)"
DGa,"  DGa Germany Graw DFM90 radiosonde auto rad corr, tracking wind 31313=45003^ (DFM = Digital, Flexible, Modular) (W3=50) <F=T402-406DL,P=Ac,T=TB,U=A,W=Ra(or W=Da)>"
DGg,"  DGg Germany Graw DFM90/DGPS radiosonde auto rad corr {1995} 31313=45008^ <F=T402-406DL,P=Ac(or P=0),T=TB,U=A,W=Ra(or W=Da)orN=GC>"
DGh,"  DGh Germany Graw H38 radiosonde {1938}^ <P=A,T=B,U=H>"
DGj,"  DGj Germany Graw DFM90/DGPS radiosonde auto solar corr {2004} 31313=55008^ <F=T402-406DL,P=Ac(or P=0),T=TB,U=A,W=Ra(or W=Da)orN=GC>"
DGm,"  DGm Germany Graw DFM06-TU-GPS radiosonde solar and IR correction {2012} 31313=41808^ <F=T402-406DL,P=0,T=TB,U=A,N=GC>"
DGn,"  DGn Germany Graw DFM90 radiosonde auto rad corr, no wind {~1990} 31313=45000^ (W3=50) <F=T402-406DL,P=Ac,T=TB,U=A,W=none>"
DGp,"  DGp Germany Graw PT radiosonde {1935}^ <P=A,T=B>"
DGt,"  DGt Germany Graw 77Q or TDFS low-level radiosonde {late 1970s}^ <F=T402-406FB,P=A,T=TB,U=W>"
DHH,"  DHH Germany Technical University Braunschweig and University of Hanover Helipod {1994}^ <T=T+W,U=D+Ly+Ac(Vaisala),N=G>"
DHK,"  DHK Germany Etewe Messtechnik GmbH recoverable radiosonde {1999}^ <F=T434+900-L,P=H(water),T=2T,U=C(VIZ)+D,N=G>"
DHR,  DHR East Germany MARS-32 or DFR-MARS radiosonde {1987}^
DHS,"  DHS Germany Univ of Hamburg structuresonde {1965}^ <F=V?FS(Frequency triplex method; T, U=W, and either P or U=C on 3rd channel),P=2A,T=TB,U=W+C>"
DJG,"  DJG Germany J. Gaw coding radiosonde {late 1930s}^ <F=V?ME,P=A,T=B,U=H>"
DKG,"  DKG Germany Koelzer Graw PT Army radiosonde {early 1940s}^ <F=V4FR,P=A,T=BC>"
DKS,"  DKS Germany Kindermann-Schulze radiosonde {~ 1950}^ <F=V?FB(?),P=A,T=T,U=W(?)>"
DL1,"  DL1 Germany Lang or RfW radiosonde {1938}^ (I=L, T=215) <F=V27.75HE,P=A,T=B,U=H>"
DL2,"  DL2 Germany Lang + ""Muecke"" phase radiosonde {late 1940s}^ <F=V27.75HE,P=A,T=B,U=H,W=Ta>"
DL3,"  DL3 Germany Lang + ""Biene"" time delay radiosonde {late 1940s}^ <F=V27.75HE,P=A,T=B,U=H,W=Ta>"
