primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-43371	[43371]	THIRUVANANTHAPURAM (43371-0)	8.48	76.949997	1954-01-01 00:00:00	1967-07-28 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:43371
0-20000-0-34880	[34880]	ASTRAHAN' (34880-0)	46.27	48.029999	1947-02-13 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:34880
0-20000-0-10393	[10393]	LINDENBERG (10393-0)	52.22	14.12	1909-01-02 00:00:00	1909-12-20 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1909
0-20000-0-47770	[47770]	KOBE	34.68	135.179993	1931-03-02 00:00:00	1941-06-29 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47770
0-20000-0-47632	[47632]	GIFU	35.400002	136.770004	1937-08-20 00:00:00	1941-07-29 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47632
0-20000-0-16734	[16734]	METHONI	36.830002	21.719999	1956-05-13 00:00:00	1967-09-08 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:16734
0-20000-0-42071	[42071]	AMRITSAR	31.629999	74.870003	1957-07-01 00:00:00	1960-05-20 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:42071
0-20000-0-53614	[53614]	YINCHUAN	38.419998	106.269997	1957-03-01 00:00:00	1959-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:53614
0-20000-0-29282	[29282]	BOGUCANY	58.419998	97.400002	1950-12-05 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:29282
0-20000-0-48080	[48080]	Thandwe	18.469999	94.349998	1954-07-03 00:00:00	1967-07-28 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:48080
0-20000-0-26038	[26038]	TALLINN-HARKU	59.419998	24.799999	1947-05-04 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:26038
0-20000-0-32061	[32061]	ALEKSANDROVSK-SAHALINSKIJ	50.900002	142.169998	1951-09-02 00:00:00	1972-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:32061
0-20000-0-23921	[23921]	IVDEL'	60.68	60.43	1953-02-16 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:23921
0-20000-0-72394	[72394]	SANTA MARIA,  CA.	34.93	-119.580002	1947-01-01 00:00:00	1959-06-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:72394
0-20000-0-43413	[43413]	MANNAR	8.98	79.919998	1954-07-12 00:00:00	1967-07-24 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:43413
0-20000-0-72231	[72231]	NEW ORLEANS/MOISANT INT., LA.	29.98	-89.75	1926-10-21 00:00:00	1957-04-20 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:72231
0-20000-0-47771	[47771]	OSAKA INTERNATIONAL AIRPORT	34.799999	135.399994	1940-06-01 00:00:00	1944-03-25 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47771
0-20000-0-10393	[10393]	LINDENBERG (10393-0)	52.22	14.12	1910-01-05 00:00:00	1910-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1910
0-20000-0-38880	[38880]	ASHGABAT (38880-0)	37.970001	58.330002	1946-05-17 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:38880
0-20000-0-72303	[72303]	POPE AFB, NC.	35.18	-79.019997	1919-05-26 00:00:00	1955-08-05 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:72303
0-20000-0-20891	[20891]	HATANGA	71.980003	102.459999	1949-07-16 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:20891
