	Unnamed: 0	press	hum	temp	datetime	sensor
654757	417	2306	100.0	287.24	2005-02-19 15:00:10+00:00	Vaisala
654762	420	2319	100.0	287.2	2005-02-19 15:00:10+00:00	Vaisala
654767	422	2328	100.0	287.2	2005-02-19 15:00:10+00:00	Vaisala
654772	425	2342	100.0	287.16	2005-02-19 15:00:10+00:00	Vaisala
654777	427	2351	100.0	287.16	2005-02-19 15:00:10+00:00	Vaisala
654782	430	2364	100.0	287.17	2005-02-19 15:00:10+00:00	Vaisala
654787	432	2373	100.0	287.09	2005-02-19 15:00:10+00:00	Vaisala
654792	435	2387	100.0	287.04	2005-02-19 15:00:10+00:00	Vaisala
654797	437	2396	100.0	287.04	2005-02-19 15:00:10+00:00	Vaisala
654802	440	2409	100.0	287.01	2005-02-19 15:00:10+00:00	Vaisala
654807	442	2418	100.0	286.94	2005-02-19 15:00:10+00:00	Vaisala
654812	445	2432	100.0	286.9	2005-02-19 15:00:10+00:00	Vaisala
654817	447	2441	100.0	286.89	2005-02-19 15:00:10+00:00	Vaisala
654822	450	2454	100.0	286.84	2005-02-19 15:00:10+00:00	Vaisala
654827	452	2463	100.0	286.83	2005-02-19 15:00:10+00:00	Vaisala
654832	455	2477	100.0	286.78	2005-02-19 15:00:10+00:00	Vaisala
654837	457	2486	100.0	286.73	2005-02-19 15:00:10+00:00	Vaisala
654842	460	2500	100.0	286.71	2005-02-19 15:00:10+00:00	Vaisala
654847	462	2509	100.0	286.64	2005-02-19 15:00:10+00:00	Vaisala
654852	465	2522	100.0	286.61	2005-02-19 15:00:10+00:00	Vaisala
654857	467	2531	100.0	286.55	2005-02-19 15:00:10+00:00	Vaisala
654862	470	2545	100.0	286.51	2005-02-19 15:00:10+00:00	Vaisala
654867	472	2554	100.0	286.43	2005-02-19 15:00:10+00:00	Vaisala
654872	475	2567	100.0	286.4	2005-02-19 15:00:10+00:00	Vaisala
654877	477	2576	100.0	286.33	2005-02-19 15:00:10+00:00	Vaisala
654882	480	2590	100.0	286.29	2005-02-19 15:00:10+00:00	Vaisala
654887	482	2599	100.0	286.24	2005-02-19 15:00:10+00:00	Vaisala
654892	485	2612	100.0	286.21	2005-02-19 15:00:10+00:00	Vaisala
654897	487	2621	100.0	286.14	2005-02-19 15:00:10+00:00	Vaisala
654902	490	2635	100.0	286.1	2005-02-19 15:00:10+00:00	Vaisala
654907	492	2644	100.0	286.02	2005-02-19 15:00:10+00:00	Vaisala
654912	495	2657	100.0	285.98	2005-02-19 15:00:10+00:00	Vaisala
654917	497	2666	100.0	285.94	2005-02-19 15:00:10+00:00	Vaisala
654922	500	2680	100.0	285.89	2005-02-19 15:00:10+00:00	Vaisala
