,name,statid,ascents,lat,lon,min_lat_d,max_lat_d,min_lon_d,max_lon_d,max_time
30,TASIILAQ (AMMASSALIK),0-20000-0-04360,48181,65.6111,-37.6367,-0.07389749948264068,0.17891539907213883,-0.31631591801732384,0.185376918961353,2060.678644804513
31,FLYVESTATION KARUP,0-20000-0-06060,6270,56.2933,9.1139,-0.07066247458384112,0.04082049003176991,-0.09895397366473091,0.033946616214139524,614.8488312176909
32,BLAAVANDSHUK FYR,0-20000-0-06081,57,55.58,8.25,0.0,0.037997390738915726,0.0,0.05965639824970381,516.2210152938203
33,JAEGERSBORG,0-20000-0-06181,46887,55.75,12.52,-0.22295828885112456,0.0002208576621995917,-0.2554670377589101,0.0,1520.9749505458867
34,DE KOOIJ VK,0-20000-0-06235,5639,52.92,4.78,-0.01905638533404641,0.043922520263080855,-0.006700167833932902,0.24555995422480148,786.5967018629501
35,DE BILT AWS,0-20000-0-06260,84045,52.0989,5.1797,-0.1565934352121019,0.012729745866792541,-0.30952809086114996,0.09886969827282233,3171.0381591695477
36,BEAUVECHAIN,0-20000-0-06458,54970,50.7456,4.7633,-0.0002316018995358604,0.003927643695234906,-1.5379299215467768e-05,0.01308331027345222,143.1364299961818
37,ELSENBORN,0-20000-0-06496,885,50.46597,6.22097,0.0,0.006372520098146595,0.0,0.017494634378125262,252.68655675395584
38,OBERRIET / KRIESSERN,0-20000-0-06649,107,47.38,9.65,-0.0954486378454078,0.0,-0.002673946545272088,0.0039509563284632065,882.4002831732325
39,"GUETSCH, ANDERMATT",0-20000-0-06750,225,46.65,8.62,-0.2388426209951433,0.0025028948462946232,-0.10613811792385874,0.09415157094640314,1274.8382348706643
40,SCALOTTAS,0-20000-0-06846,106,46.71,9.41,-0.39840414768487875,0.03685703878468871,-0.006224454434025972,0.8152827517657393,2912.407562742685
41,TRAPPES,0-20000-0-07145,75843,48.7744,2.0097,-0.19885181332194435,0.009555133893819345,-0.010757602323006932,0.1498319610910872,1759.2128870522936
42,LYON-ST EXUPERY,0-20000-0-07481,36666,45.75,5.08,-0.13982970256432736,0.03177291080384492,-0.19769202585873913,0.24179407436533928,1396.8845686987506
43,BORDEAUX MERIGNAC,0-20000-0-07510,76792,44.8306,-0.6914,-0.05614374717909243,0.0,-0.0008858011398289456,0.24480171117003002,1495.4766718762155
44,CANNES,0-20000-0-07684,972,43.42,6.75,-0.183538745558117,0.007756801806863223,-0.0038684045073775764,0.031015525107376263,1824.2566843542804
45,AJACCIO,0-20000-0-07761,62792,41.9181,8.7928,-0.04678269777991062,0.0007892852980759812,-0.0010975834679207708,0.04163627901056621,690.5357158004025
46,LA CORUNA,0-20000-0-08001,42726,43.3658,-8.4214,-0.05628006487872028,0.029939382821702054,-0.06858920336336638,0.017856788407565105,686.1966725404461
47,SANTANDER,0-20000-0-08023,24544,43.4911,-3.8006,-0.09852254049594222,0.005682853381649977,-0.2417990484860706,0.004143682881532662,1451.825551404971
48,ZARAGOZA/AEROPUERTO,0-20000-0-08160,19781,41.6786,-1.0731,-0.9051010599132567,0.27477141342154,-0.4413883178591309,0.8668233943729466,4565.490687945075
49,BARCELONA SERVEI,0-20000-0-08190,10494,41.3844,2.1181,-0.15856347501720336,0.04802821179664818,-0.08744454973195692,0.07184987514624641,1333.8394334810087
50,HUELVA,0-20000-0-08383,2188,37.27844,-6.91147,-0.061114982339361745,0.0766867998469749,-0.07389190166730053,0.146454129148748,1024.9074677089802
51,MURCIA,0-20000-0-08430,26400,38.0019,-1.1708,-0.06917170121485583,0.0602388114653607,-0.1024275353423898,0.24670222888214122,1627.6782404574874
52,LAJES (ACORES) (8508-0),0-20000-0-08508,57884,38.7678,-27.0856,-0.19311981207143702,0.12017545299485022,-0.1928323404200043,0.20802990266409793,2729.251981573405
53,FUNCHAL,0-20000-0-08522,30922,32.6333,-16.9,-0.20662320031819092,0.11259689757926594,-0.2945124306179565,0.32850611753439907,2129.1695792026453
54,PORTO SANTO,0-20000-0-08524,104,33.07,-16.35,-0.006648355743706702,0.0,-0.0013471974111602947,0.0050415856709733475,175.57722551547502
55,EVORA / C.C.,0-20000-0-08558,47,38.53,-7.9,-0.005612834223768459,0.017621561158030374,-0.00015883202057676016,0.05220861028616408,467.126982805049
56,PRAIA,0-20000-0-08589,154,14.9,-23.517,0.0,0.0,0.0,0.0,0.0
57,SAL,0-20000-0-08594,21117,16.7419,-22.9489,-0.03134606764789183,0.014323305724435187,-0.11415387947150535,0.008565552590042103,1223.1167461274536
58,KIEL-HOLTENAU,0-20000-0-10046,21248,54.38,10.15,-0.0030804871619523055,0.056076178912285,-0.06708759906986295,0.007163615995807504,612.5638334291502
59,GREIFSWALD,0-20000-0-10184,86969,54.0978,13.4075,-0.001680595919324901,0.011328238155165593,-0.11764994408972385,0.0,500.6242871292029
60,EMDEN-FLUGPLATZ,0-20000-0-10200,49507,53.3894,7.2269,-0.11420407703698743,0.04837986344475098,-0.03748459513440583,0.056741237075049966,1072.9146434203774
61,BERGEN,0-20000-0-10238,58130,52.8153,9.9247,-0.08430943296535531,0.006198078427303244,-0.2549969591183512,0.0640939544338508,1073.4213415720253
62,MEPPEN,0-20000-0-10304,29977,52.7156,7.3175,-0.0009836481769127658,0.006469125172074541,-0.020403029569316722,0.0031308204249329563,369.69340646540485
63,HANNOVER (RADAR),0-20000-0-10339,48694,52.47,9.7,-0.4641711873039114,0.03413241457720062,-0.2088561279945491,0.2839854949928622,1771.0773107856037
64,FRITZLAR (FLUGPLATZ),0-20000-0-10439,27936,51.13,9.28,-0.01489305735687907,0.0035731068901583285,-0.03271640451961666,0.0034103422043418874,585.2377935112069
65,LEIPZIG/HALLE,0-20000-0-10469,4127,51.55,12.07,-0.762950377062694,0.5110576321884608,-0.6832884343747256,1.3797316023298478,3340.326078752969
66,IDAR-OBERSTEIN,0-20000-0-10618,61859,49.6928,7.3264,-0.13417349348142693,0.0018721033726620817,-0.24205875774048735,0.0,2206.9574240173483
67,NEUHUETTEN-SPESSART,0-20000-0-10646,422,49.75,9.5,-0.07516399967290255,0.04187244736394291,-0.03140249555247365,0.14771528343309726,962.5612436664286
68,WEIDEN,0-20000-0-10688,3441,49.7,11.95,-0.0012427829125840617,0.0,0.0,0.000525213328719687,37.27126557803369
69,KUEMMERSBRUCK (10771-0),0-20000-0-10771,58740,49.4283,11.9022,-0.20979745804389438,0.01423373524169591,-0.012835174792529713,0.0458198012200306,1750.8742648817429
70,KLIPPENECK,0-20000-0-10818,19795,47.98,8.9,-0.033147554405807966,0.0006350581947884848,0.0,0.0768872155392959,515.6705889319004
71,MESSSTETTEN,0-20000-0-10827,8349,48.1,9.25,-0.0669657013714513,0.0,-0.0622482687288155,0.0,891.5145500414094
72,LINZ/HOERSCHING-FLUGHAFEN,0-20000-0-11010,13614,48.23203,14.20099,-0.7381672123105929,0.07901127218224246,-0.746394837872888,1.2916344294511308,3170.547300868525
73,GALZIG,0-20000-0-11110,5,47.13,10.23,-0.0008231837056271729,0.0,0.0,0.0012034428567915256,72.13921578647545
74,INNSBRUCK-FLUGHAFEN,0-20000-0-11120,11635,47.25977,11.35527,-0.12056285799919664,0.00750219222669557,-0.052892079749153,0.047927707036818035,1014.3738131692418
75,GRAZ-THALERHOF-FLUGHAFEN,0-20000-0-11240,13715,46.99396,15.44706,-0.11634712290524618,0.0,0.0,0.014162580631039035,774.8480506516053
76,BRNO/TURANY,0-20000-0-11723,4565,49.12,16.75,-0.23919847734913446,0.17307690006538934,-0.2159595215404302,0.8360731267798016,2569.42659215694
77,PROSTEJOV,0-20000-0-11747,13538,49.4525,17.1347,-0.24484754273684928,0.013263521705376036,-0.0996981829791217,0.023125594966376894,1803.7134943925935
78,LEBA,0-20000-0-12120,42431,54.7536,17.5347,-0.19490765088748674,0.10905768032943541,-0.23604771480264475,0.17362464247583276,1202.0851906544126
79,LEGIONOWO,0-20000-0-12374,65290,52.4078,20.9564,-0.12675418973186936,0.02488777206533399,-0.4197276209732017,0.09742741665332133,1398.0040061611799
80,WROCLAW-STARACHOWICE,0-20000-0-12425,49605,51.1131,16.8811,-0.2502482745930976,0.06903292247436355,-0.3404947756594936,0.2485430087418692,1211.2279075975573
81,PRIZREN,0-20000-0-13477,3572,42.13,20.45,-0.04105112256984711,0.2638836004159444,-0.040017564420164575,0.5997833118520361,2208.936609712877
82,ZAGREB/MAKSIMIR,0-20000-0-14240,48949,45.8219,16.0336,-0.04115136534839792,0.0026672737059101337,-0.06132568780286718,0.01616790506366428,665.8251424464858
83,ZADAR RS,0-20000-0-14430,12886,44.0969,15.3403,-0.3791909258738997,0.023759858351247942,-0.44786903204827233,0.06752701509099346,2177.6808056158275
84,CONSTANTA,0-20000-0-15480,30075,44.22,28.63,-0.0009665357485886261,0.0,0.0,0.0019343194859224866,56.29599673990032
85,NOVARA/CAMERI,0-20000-0-16064,445,45.53083,8.66574,-0.036176920364539455,0.11621812500779782,-0.11696525530589952,0.0018854021920144959,1904.6681649297047
