primary_id	station_name	files
0-20000-0-11812	OWEN ROBERTS AIRPORT GRAND CAYMAN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11812']
0-20000-0-11813	OWEN ROBERTS AIRPORT GRAND CAYMAN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11813']
0-20000-0-11814	SAN ANDRES (ISLA)/SESQUICENTENARIO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11814']
0-20000-0-1184	FUKUE AIRPORT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1184']
0-20000-0-11902	SAN JOSE (78647-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11902']
0-20000-0-11904	HACIENDA YLANG YLANG VERACRUZ, VER.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11904']
0-20000-0-11934	POPRAD/TATRY	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:11934']
0-20000-0-12101	ATAR	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12101']
0-20000-0-12103	DAKHLA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12103']
0-20000-0-12200	SWINOUJSCIE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1397']
0-20000-0-1222	LINHE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1222']
0-20000-0-12374	LEGIONOWO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12374']
0-20000-0-12375	WARSZAWA-OKECIE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12375']
0-20000-0-12425	WROCLAW-STARACHOWICE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12425']
0-20000-0-1261	RUIAN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1261']
0-20000-0-12701	CAMAGUEY	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12701']
0-20000-0-12702	GRAND TURK	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12702']
0-20000-0-12703	ABRAHAM'S BAY,  MAYAGUANA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12703']
0-20000-0-12704	GEORGE TOWN, EXUMA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12704']
0-20000-0-12705	CAIBARIEN, VILLA CLARA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12705']
0-20000-0-12706	GEORGE TOWN, EXUMA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12706']
0-20000-0-12709	ABRAHAM'S BAY,  MAYAGUANA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12709']
0-20000-0-12710	NASSAU AIRPORT NEW PROVIDENCE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12710']
0-20000-0-12711	CAMAGUEY	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12711']
0-20000-0-12712	FREEPORT, GRAND BAHAMA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12712']
0-20000-0-12713	DUNMORE TOWN, HARBOUR IS., ELEUTHERA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12713']
0-20000-0-12714	GRAND TURK	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12714']
0-20000-0-12715	ABRAHAM'S BAY, MAYAGUANA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12715']
0-20000-0-12716	COCKBURN TOWN, SAN SALVADOR (78089-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12716']
0-20000-0-1278	PAGO PAGO/INT.AIRP. AMERICAN SAMOA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1278']
0-20000-0-1279	WIDE AWAKE FIELD (ASCENSION IS.)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1279']
0-20000-0-12801	BAUTA, LA HABANA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12801']
0-20000-0-12803	FORT LAUDERDALE, FL, FORT LAUDERDALE-HOLYWOOD INT. ARPT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12803']
0-20000-0-12806	TAMPA/INT., FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12806']
0-20000-0-12808	TAMPA BAY AREA, FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12808']
0-20000-0-12809	AVON PARK GUNNERY RANGE, FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12809']
0-20000-0-12812	SZOMBATHELY	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12812']
0-20000-0-12813	ORLANDO/JETPORT FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12813']
0-20000-0-12814	TAMPA BAY AREA, FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12814']
0-20000-0-12816	GAINSVILLE, FL GAINSVILLE RGNL ARPT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12816']
0-20000-0-12817	GAINSVILLE, FL GAINSVILLE RGNL ARPT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12817']
0-20000-0-12819	CAPE KENNEDY, FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12819']
0-20000-0-12823	GAINSVILLE, FL GAINSVILLE RGNL ARPT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12823']
0-20000-0-12824	CAPE KENNEDY, FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12824']
0-20000-0-12826	MIAMI, FL (72202-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12826']
0-20000-0-12827	APALACHICOLA/MUN.,  FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12827']
0-20000-0-12829	MIAMI, FL (72202-1)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12829']
0-20000-0-12838	COCOA/PATRICK AFB,  FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12838']
0-20000-0-12843	BUDAPEST/PESTSZENTLORINC	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12843']
0-20000-0-12845	COCOA/PATRICK AFB,  FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12845']
