primary_id	station_name	files
0-20000-0-07024	MAUPERTUS GONNEVILLE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007024.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007021.nc']
0-20000-0-07037	ROUEN-BOOS	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007036.nc']
0-20000-0-07072	REIMS-PRUNAY	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007070.nc']
0-20000-0-07108	PLABENNEC-RADAR	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007110.nc']
0-20000-0-07130	RENNES-SAINT JACQUES	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007130.nc']
0-20000-0-07139	ALENCON	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007139.nc']
0-20000-0-07145	TRAPPES	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007145.nc']
0-20000-0-07180	NANCY-ESSEY	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007180.nc']
0-20000-0-07190	STRASBOURG-ENTZHEIM	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007190.nc']
0-20000-0-07222	NANTES-BOUGUENAIS	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007222.nc']
0-20000-0-07240	TOURS	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007240.nc']
0-20000-0-07255	BOURGES	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007255.nc']
0-20000-0-07266	AUXERRE PERRIGNY	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007265.nc']
0-20000-0-07280	DIJON-LONGVIC	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007280.nc']
0-20000-0-07354	CHATEAUROUX DEOLS	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007354.nc']
0-20000-0-07412	COGNAC	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007412.nc']
0-20000-0-07434	LIMOGES-BELLEGARDE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007435.nc']
