primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-02963	5	52	2963	0	JOKIOINEN OBSERVATORY	-1	-1	0	23.48	60.82	NA	1957-01-10	2019-03-31	1	0	63	NMS	-1	Forssa	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	22.454474510871695	24.505525489128306	60.32	61.32	S. Schroeder	0
0-20000-0-02974	5	53	2974	0	HELSINKI/SEUTALA	-1	-1	0	24.97	60.32	NA	1950-04-07	1956-12-24	1	0	63	NMS	-1	Tuusula	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	23.96021605931307	25.97978394068693	59.82	60.82	S. Schroeder	0
0-20000-0-03005	5	54	3005	0	LERWICK	-1	-1	0	358.82	60.13	NA	1948-01-01	2019-03-31	1	0	63	NMS	-1	Fraserburgh	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	357.8160520053657	-0.17605200536570464	59.63	60.63	S. Schroeder	0
0-20000-0-03023	5	55	3023	0	SOUTH UIST RANGE	-1	-1	0	352.63	57.35	NA	1982-08-07	2019-03-21	1	0	63	NMS	-1	Inverness	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	351.7032258322965	-6.443225832296491	56.85	57.85	S. Schroeder	0
0-20000-0-03026	5	56	3026	0	STORNOWAY AIRPORT	-1	-1	0	353.68	58.22	NA	1948-01-01	2002-10-25	1	0	63	NMS	-1	Inverness	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	352.7306192623314	-5.370619262331388	57.72	58.72	S. Schroeder	0
0-20000-0-03171	5	57	3171,3170	0	LEUCHARS	-1	-1	0	357.12	56.38	NA	1948-01-09	2005-04-15	1	0	63	NMS	-1	Saint Andrews	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	356.2169549934566	-1.9769549934566157	55.88	56.88	S. Schroeder	0
0-20000-0-03213	5	58	3213	0	WALNEY ISLAND	-1	-1	0	356.6	54.32	NA	1969-11-18	2000-07-20	1	0	63	NMS	-1	Whitehaven	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	355.74274600137073	-2.5427460013706877	53.82	54.82	S. Schroeder	0
0-20000-0-03238	5	59	3238	0	ALBEMARLE	-1	-1	0	358.13	55.02	NA	2002-04-02	2019-03-31	1	0	63	NMS	-1	Newburn	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	357.25784176274624	-0.9978417627462477	54.52	55.52	S. Schroeder	0
0-20000-0-03240	5	60	3240	0	BOULMER	-1	-1	0	358.4	55.42	NA	1992-05-04	2002-02-14	1	0	63	NMS	-1	Ashington	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	357.5190302564636	-0.7190302564636681	54.92	55.92	S. Schroeder	0
0-20000-0-03257	5	61	3257	0	LEEMING	-1	-1	0	358.47	54.3	NA	1996-12-07	2010-05-02	1	0	63	NMS	-1	Northallerton	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	357.6131624874651	-0.6731624874650493	53.8	54.8	S. Schroeder	0
0-20000-0-03317	5	62	3317	0	LAKE VYRNWY NO 2	-1	-1	0	356.95	52.57	NA	2000-03-01	2002-02-17	1	0	63	NMS	-1	Shrewsbury	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	356.1273497548975	-2.2273497548975456	52.07	53.07	S. Schroeder	0
0-20000-0-03322	5	63	3322	0	CROSBY	-1	-1	0	357.08	53.55	NA	1948-01-02	1996-03-31	1	0	63	NMS	-1	Ormskirk	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	356.23842068019314	-2.078420680193176	53.05	54.05	S. Schroeder	0
0-20000-0-03354	5	64	3354	0	NOTTINGHAM, WATNALL	-1	-1	0	358.75	53.0	NA	1998-06-17	2019-03-31	1	0	63	NMS	-1	Heanor	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	357.91917992943877	-0.41917992943876925	52.5	53.5	S. Schroeder	0
0-20000-0-03377	5	65	3377	0	WADDINGTON	-1	-1	0	359.48	53.17	NA	2002-01-11	2006-02-14	1	0	63	NMS	-1	Lincoln	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	358.64589202829814	0.3141079717019011	52.67	53.67	S. Schroeder	0
0-20000-0-03414	5	66	3414	0	SHAWBURY	-1	-1	0	357.33	52.8	NA	1999-09-08	2006-02-28	1	0	63	NMS	-1	Shrewsbury	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	356.5030057360176	-1.8430057360176306	52.3	53.3	S. Schroeder	0
