primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-78325	5	47	-1	-1	CASA BLANCA,  LA HABANA	-1	-1	0	-82.35	23.15	NA	1958-01-01	1960-11-01	1	0	63	NMS	-1	Santiago de las Vegas	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-82.89378634633407	-81.80621365366592	22.65	23.65	S. Schroeder	0
0-20000-0-74794	5	48	-1	-1	CAPE KENNEDY, FL.	-1	-1	0	-80.55	28.48	NA	1958-01-01	1970-05-31	1	0	63	NMS	-1	Cape Canaveral	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-81.11883881476577	-79.98116118523423	27.98	28.98	S. Schroeder	0
0-20000-0-76644	5	49	-1	-1	AEROP.INTERNACIONAL MERIDA, YUC	-1	-1	0	-89.67	20.95	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Mérida	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-90.20539335219499	-89.13460664780501	20.45	21.45	S. Schroeder	0
0-20000-0-01028	5	50	-1	-1	BJORNOYA (1028-0)	-1	-1	0	19.02	74.52	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	17.146653153567076	20.893346846432923	74.02	75.02	S. Schroeder	0
0-20000-0-72250	5	51	-1	-1	BROWNSVILLE/INT., TX	-1	-1	0	-97.43	25.9	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Brownsville	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-97.98582866570366	-96.87417133429635	25.4	26.4	S. Schroeder	0
0-20000-0-72253	5	52	-1	-1	SAN ANTONIO/INT., TX.	-1	-1	0	-98.47	29.53	NA	1958-01-01	1966-06-20	1	0	63	NMS	-1	San Antonio	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-99.0446480821167	-97.8953519178833	29.03	30.03	S. Schroeder	0
0-20000-0-72251	5	53	-1	-1	CORPUS CHRISTI/INT., TX.	-1	-1	0	-97.28	27.68	NA	1958-01-01	1966-06-30	1	0	63	NMS	-1	Corpus Christi	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-97.84461713848674	-96.71538286151326	27.18	28.18	S. Schroeder	0
0-20000-0-01025	5	54	-1	-1	TROMSO/LANGNES	-1	-1	0	19.02	69.7	NA	1958-01-01	1961-06-30	1	0	63	NMS	-1	Tromsø	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	17.57881055252569	20.461189447474307	69.2	70.2	S. Schroeder	0
0-20000-0-14240	5	55	-1	-1	ZAGREB/MAKSIMIR	-1	-1	0	16.03	45.82	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Zagreb	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	15.312552197429255	16.747447802570747	45.32	46.32	S. Schroeder	0
0-20000-0-60120	5	56	-1	-1	KENITRA	-1	-1	0	-6.6	34.3	NA	1958-01-02	1971-02-03	1	0	63	NMS	-1	Kenitra	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-7.205254850822796	-5.994745149177203	33.8	34.8	S. Schroeder	0
