	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	,primary_id,primary_id_scheme,record_number,secondary_id,secondary_id_scheme,station_name,station_abbreviation,alternative_name,station_crs,longitude,latitude,local_gravity,start_date,end_date,station_type,platform_type,platform_sub_type,operating_institute,operating_territory,city,contact,role,observing_frequency,reporting_time,telecommunication_method,station_automation,measuring_system_model,measuring_system_id,observed_variables,comment,optional_data,bbox_min_longitude,bbox_max_longitude,bbox_min_latitude,bbox_max_latitude,metadata_contact,metadata_contact_role
318	0-20000-0-07475	0.0	318	07475	1.0,3.0	ST-ETIENNE BOUTHEON			0.0	4.29	45.53		19811224	19840912	1.0	0.0	63.0			Roche-La-Moliere									104,105,106,107,117							L.Haimberger	0.0	
319	0-20000-0-07480	0	319	07480,1:07480,1:7480,7480,C:5604,FRM00007480	3	LYON-BRON			0	4.94	45.73		19200901	20110228	1	0	63	NMS	74.0	Bron,Saint-Priest					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
320	0-20000-0-07481	0	320	07481,1:7481,7481,FRM00007481	3	LYON-ST EXUPERY			0	5.08	45.73		19750831	20110228	1	0	63	NMS	74.0	Genas					29	1	Modem M2K2-DC (France)		104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
321	0-20000-0-07482	0.0	321	2:34021	1.0,3.0	AMBERIEU			0.0	5.33	45.98		19440911	19440920	1.0	0.0	63.0			Amberieu-En-Bugey									106,107							L.Haimberger	0.0	
322	0-20000-0-07486	0.0	322	07486	1.0,3.0	GRENOBLE-ST-GEOIRS			0.0	5.31	45.36		19820326	19820326	1.0	0.0	63.0			Voiron									104,105,106,107,117							L.Haimberger	0.0	
323	0-20000-0-07500	0.0	323	07500	1.0,3.0	LEGE-CAP FERRET			0.0	-1.25	44.63		19910920	19910920	1.0	0.0	63.0			Arcachon									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
324	0-20000-0-07502	0.0	324	07502,1:7502,C:5092	1.0,3.0	CAZAUX			0.0	-1.13	44.53		19270614	19890506	1.0	0.0	63.0			La Teste-De-Buch									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
325	0-20000-0-07503	0.0	325	07503	1.0,3.0	BISCAROSSE			0.0	-1.25	44.43		19820519	19940716	1.0	0.0	63.0			La Teste-De-Buch									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
326	0-20000-0-07510	0	326	07510,1:07510,1:7510,7510,C:5071,C:5644,FRM00007510	3	BORDEAUX MERIGNAC			0	-0.69	44.83		19200111	20201231	1	0	63	NMS	74.0	Bordeaux,Merignac,M̩rignac,Pessac,Saint-Medard-En-Jalles					29	1	Modem GPSonde M10 (France)		104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
327	0-20000-0-07535	0.0	327	07535,1:7535,7535	1.0,3.0	GOURDON			0.0	1.4	44.74		19700308	19851028	1.0	0.0	63.0			Cahors									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
328	0-20000-0-07558	0.0	328	07558,1:7558,7558	1.0,3.0	MILLAU			0.0	3.02	44.12		19660301	19851024	1.0	0.0	63.0			Millau									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
329	0-20000-0-07560	0.0	329	07560	1.0,3.0	MONT AIGOUAL			0.0	3.58	44.12		19800506	19800506	1.0	0.0	63.0			Millau									104,105,106,107,117							L.Haimberger	0.0	
330	0-20000-0-07577	0	330	07577,1:07577,1:7577,7577,C:5244,C:5612,FRM00007577	3	MONTELIMAR			0	4.73	44.58		19200904	20010728	1	0	63	NMS	74.0	Montelimar,Mont̩limar					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
331	0-20000-0-07579	0.0	331	07579	1.0,3.0	ORANGE			0.0	4.86	44.14		19810904	19821222	1.0	0.0	63.0			Orange									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
332	0-20000-0-07588	0.0	332	07588	1.0,3.0	ST-AUBAN-SUR-DURANCE			0.0	5.99	44.06		19801115	19931118	1.0	0.0	63.0			Manosque									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
333	0-20000-0-07591	0.0	333	07591,1:7591,7591	1.0,3.0	EMBRUN			0.0	6.5	44.57		19691019	19830831	1.0	0.0	63.0			Gap									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
334	0-20000-0-07600	0.0	334	07600	1.0,3.0	POINTE DE SOCOA			0.0	-1.69	43.39		19820701	19820701	1.0	0.0	63.0			Saint-Jean-De-Luz									104,105,106,107,117							L.Haimberger	0.0	
335	0-20000-0-07602	0	335	07602,1:7602,7602,C:5579,C:6086,FRM00007602	3	BIARRITZ,BIARRITZ-ANGLET			0	-1.53	43.47		19201228	19900111	1	0	63	NMS	74.0	Anglet,Bayonne,Biarritz					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
