127.0.0.1, 2018-09-14 00:58:48, GET, /raobvis/static/images/uni_logo.gif, HTTP/1.1, 304, 0.000306
127.0.0.1, 2018-09-14 00:58:48, GET, /raobvis/static/json/settings_basic.json, HTTP/1.1, 304, 0.000197
127.0.0.1, 2018-09-14 00:58:48, GET, /raobvis/static/json/settings_menutexts.json, HTTP/1.1, 304, 0.000206
127.0.0.1, 2018-09-14 00:58:49, GET, /raobvis/static/images/uni_siegel.gif, HTTP/1.1, 304, 0.000262
127.0.0.1, 2018-09-14 00:58:49, GET, /raobvis/static/json/settings_timeseries.json, HTTP/1.1, 304, 0.000232
127.0.0.1, 2018-09-14 00:58:53, GET, /raobvis/default/newindex, HTTP/1.1, 200, 2.898208
127.0.0.1, 2018-09-14 00:58:53, GET, /raobvis/static/images/001000-017000_bgdep_00_010-010_0.11853119478307861.svg, HTTP/1.1, 200, 0.000496
127.0.0.1, 2018-09-14 13:13:36, GET, /, HTTP/1.1, 303, 0.000508
127.0.0.1, 2018-09-14 13:13:38, GET, /welcome/default/index, HTTP/1.1, 500, 1.373383
127.0.0.1, 2018-09-14 13:13:41, GET, /admin/default/ticket/welcome/127.0.0.1.2018-09-14.13-13-36.9d1e8164-aec9-4cb9-b79b-f06d036f64fb, HTTP/1.1, 303, 0.096775
127.0.0.1, 2018-09-14 13:13:41, GET, /admin/default/index, HTTP/1.1, 200, 0.027096
127.0.0.1, 2018-09-14 13:13:45, POST, /admin/default/index, HTTP/1.1, 303, 0.008324
127.0.0.1, 2018-09-14 13:13:46, GET, /admin/default/ticket/welcome/127.0.0.1.2018-09-14.13-13-36.9d1e8164-aec9-4cb9-b79b-f06d036f64fb, HTTP/1.1, 200, 0.047262
127.0.0.1, 2018-09-14 13:14:34, GET, /raobvis/default/newindex, HTTP/1.1, 500, 0.537987
127.0.0.1, 2018-09-14 13:14:36, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-14.13-14-33.bf36cbff-f9f3-4c97-abd2-afd3aa664423, HTTP/1.1, 200, 0.129290
127.0.0.1, 2018-09-14 13:14:51, GET, /, HTTP/1.1, 303, 0.000534
127.0.0.1, 2018-09-14 13:14:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.048653
127.0.0.1, 2018-09-14 13:16:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.033533
127.0.0.1, 2018-09-14 13:16:39, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000822
127.0.0.1, 2018-09-14 13:16:40, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000696
127.0.0.1, 2018-09-14 13:16:40, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000845
127.0.0.1, 2018-09-14 13:16:40, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000690
127.0.0.1, 2018-09-14 13:16:40, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000666
127.0.0.1, 2018-09-14 13:16:40, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000733
127.0.0.1, 2018-09-14 13:16:40, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000636
127.0.0.1, 2018-09-14 13:16:40, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000546
127.0.0.1, 2018-09-14 13:16:40, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000583
127.0.0.1, 2018-09-14 13:17:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.327132
127.0.0.1, 2018-09-14 13:17:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000701
127.0.0.1, 2018-09-14 13:17:05, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000595
127.0.0.1, 2018-09-14 13:17:05, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000545
127.0.0.1, 2018-09-14 13:17:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000697
127.0.0.1, 2018-09-14 13:17:06, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000503
127.0.0.1, 2018-09-14 13:17:06, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000485
127.0.0.1, 2018-09-14 13:17:06, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000584
127.0.0.1, 2018-09-14 13:17:06, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000490
127.0.0.1, 2018-09-14 13:17:06, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000682
127.0.0.1, 2018-09-14 13:18:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.031822
127.0.0.1, 2018-09-14 13:18:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000625
127.0.0.1, 2018-09-14 13:18:59, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000576
127.0.0.1, 2018-09-14 13:18:59, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000484
127.0.0.1, 2018-09-14 13:18:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000795
127.0.0.1, 2018-09-14 13:19:00, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000719
127.0.0.1, 2018-09-14 13:19:00, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000712
127.0.0.1, 2018-09-14 13:19:00, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000523
127.0.0.1, 2018-09-14 13:19:00, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000474
127.0.0.1, 2018-09-14 13:19:00, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000664
127.0.0.1, 2018-09-14 13:25:23, GET, /welcome/, HTTP/1.1, 200, 0.030610
127.0.0.1, 2018-09-14 13:25:25, GET, /welcome/static/js/bootstrap.bundle.min.js.map, HTTP/1.1, 200, 0.000625
127.0.0.1, 2018-09-14 13:25:29, GET, /welcome/static/css/bootstrap.min.css.map, HTTP/1.1, 200, 0.000798
127.0.0.1, 2018-09-14 13:25:40, GET, /raobvis/, HTTP/1.1, 500, 0.427126
127.0.0.1, 2018-09-14 13:28:23, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-14.13-25-39.3b0a1395-f671-4c96-96a5-ffdd33ed3556, HTTP/1.1, 200, 0.128569
127.0.0.1, 2018-09-14 13:30:46, GET, /raobvis/index, HTTP/1.1, 404, 0.007421
127.0.0.1, 2018-09-14 13:30:55, GET, /raobvis/index/, HTTP/1.1, 404, 0.007353
127.0.0.1, 2018-09-14 13:31:25, GET, /raobvis/default/index/, HTTP/1.1, 500, 0.068547
127.0.0.1, 2018-09-14 13:31:29, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-14.13-31-25.89fd16e1-f572-4cd1-91b0-4819acf24685, HTTP/1.1, 200, 0.049427
127.0.0.1, 2018-09-14 13:33:29, GET, /raobvis/default/index/, HTTP/1.1, 200, 6.809686
127.0.0.1, 2018-09-14 13:33:30, GET, /raobvis/static/js/richvis.retrievemenu.js, HTTP/1.1, 304, 0.000596
127.0.0.1, 2018-09-14 13:33:30, GET, /raobvis/static/js/richvis.js, HTTP/1.1, 304, 0.000547
127.0.0.1, 2018-09-14 13:33:31, GET, /raobvis/static/css/institut.css, HTTP/1.1, 304, 0.000611
