	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio
5078	0-76-0-5003256000000490	Costa Rica	-18.492222222222225	-53.16722222222222		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	18 29 32S	053 10 02W	5003256000000490	999	999	False
5079	0-20000-0-81975	COTRIGUACU (81975-0)	-9.90611111111111	-58.57194444444445	262.5	Surface land meteorological station (SYNOP), GOS	09 54 22S	058 34 19W	81975	999	999	False
5080	0-20000-0-82927	COTRIGUACU (82927-0)	-9.916666666666666	-58.266666666666666		Surface land meteorological station (SYNOP), GOS	09 55 00S	058 16 00W	82927	999	999	False
5081	0-20000-0-83512	COXIM (83512-0)	-18.5	-54.766666666666666	287.0	Surface land meteorological station (SYNOP), GOS	18 30 00S	054 46 00W	83512	999	999	False
5082	0-20000-0-86770	COXIM (86770-0)	-18.51222222222222	-54.73583333333333	253.5	Surface land meteorological station (SYNOP), GOS	18 30 44S	054 44 09W	86770	999	999	False
5083	0-20000-0-81830	CRATEUS (81830-0)	-5.186111111111112	-40.67166666666667	292.5	Surface land meteorological station (SYNOP), GOS	05 11 10S	040 40 18W	81830	999	999	False
5084	0-20000-0-82583	CRATEUS (82583-0)	-5.166666666666667	-40.666666666666664	299.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, GOS, CLIMAT(C), RBSN(S)	05 10 00S	040 40 00W	82583	999	999	False
5085	0-20000-0-86737	CRISTALINA	-16.78805555555556	-47.611666666666665	1203.5	Surface land meteorological station (SYNOP), GOS	16 47 17S	047 36 42W	86737	999	999	False
5086	0-76-0-5206206000000570	Cristalina (Faz. Santa Monica)	-16.399444444444445	-47.62583333333333		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	16 23 58S	047 37 33W	5206206000000570	999	999	False
5087	0-20000-0-83912	CRUZ ALTA (83912-0)	-28.633333333333333	-53.6	464.0	Surface land meteorological station (SYNOP), GOS	28 38 00S	053 36 00W	83912	999	999	False
5088	0-20000-0-86962	CRUZ ALTA (86962-0)	-28.603611111111114	-53.67361111111111	433.5	Surface land meteorological station (SYNOP), GOS	28 36 13S	053 40 25W	86962	999	999	False
5089	0-20000-0-83222	CRUZ DAS ALMAS (83222-0)	-12.666666666666666	-39.083333333333336	225.0	Surface land meteorological station (SYNOP), GOS	12 40 00S	039 05 00W	83222	999	999	False
5090	0-20000-0-86657	CRUZ DAS ALMAS (86657-0)	-12.666666666666666	-39.15	227.37	Surface land meteorological station (SYNOP), GOS	12 40 00S	039 09 00W	86657	999	999	False
5091	0-76-0-1200203000000498	Cruzeiro do Sul	-7.610555555555555	-72.68111111111112		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	07 36 38S	072 40 52W	1200203000000498	999	999	False
5092	0-20000-0-82704	CRUZEIRO DO SUL	-7.633333333333333	-72.66666666666667	170.0	Climatological station, Precipitation station, Surface land meteorological station (SYNOP), Weather radar, CLIMAT(C), RBCN, GOS, WRO, GSN, RBSN(S)	07 38 00S	072 40 00W	82704	999	999	False
5093	0-20000-0-82705	CRUZEIRO DO SUL (AERO)	-7.583333333333333	-72.76666666666667		Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS	07 35 00S	072 46 00W	82705	999	999	True
5094	0-20000-0-82693	CRUZETA	-6.433333333333334	-36.583333333333336	226.0	Surface land meteorological station (SYNOP), GOS	06 26 00S	036 35 00W	82693	999	999	False
5095	0-20000-0-83361	CUIABA (83361-0)	-15.55	-56.11666666666667	151.0	Climatological station, Surface land meteorological station (SYNOP), CLIMAT(C), RBCN, GSN, GOS	15 33 00S	056 07 00W	83361	999	999	False
5096	0-20000-0-86705	CUIABA (86705-0)	-15.616666666666667	-56.1	152.84	Surface land meteorological station (SYNOP), GOS	15 37 00S	056 06 00W	86705	999	999	False
5097	0-20000-0-83362	CUIABA (AERO)	-15.65	-56.1	187.0	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, RBSN(ST)	15 39 00S	056 06 00W	83362	999	999	True
5098	0-76-0-2909901000000503	Curaçá	-9.001388888888888	-39.91277777777778		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	09 00 05S	039 54 46W	2909901000000503	999	999	False
5099	0-20000-0-83842	CURITIBA (83842-0)	-25.416666666666668	-49.266666666666666	924.0	Climatological station, Surface land meteorological station (SYNOP), CLIMAT(C), RBCN, GOS, GSN	25 25 00S	049 16 00W	83842	999	999	False
5100	0-20000-0-86933	CURITIBA (86933-0)	-25.448611111111113	-49.230000000000004	925.0	Surface land meteorological station (SYNOP), GOS	25 26 55S	049 13 48W	86933	999	999	False
5101	0-20000-0-83840	CURITIBA (AERO)	-25.516666666666666	-49.166666666666664	908.0	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, RBSN(ST)	25 31 00S	049 10 00W	83840	999	999	True
5102	0-20000-0-86956	CURITIBANOS	-27.288611111111113	-50.60416666666667	983.5	Surface land meteorological station (SYNOP), GOS	27 17 19S	050 36 15W	86956	999	999	False
5103	0-20000-0-83536	CURVELO (83536-0)	-18.766666666666666	-44.43333333333333	616.0	Surface land meteorological station (SYNOP), GOS	18 46 00S	044 26 00W	83536	999	999	False
5104	0-20000-0-86780	CURVELO (86780-0)	-18.747777777777777	-44.453611111111115	671.5	Surface land meteorological station (SYNOP), GOS	18 44 52S	044 27 13W	86780	999	999	False
5105	0-20000-0-86610	DELFINO	-10.455277777777777	-41.20722222222223	638.5	Surface land meteorological station (SYNOP), GOS	10 27 19S	041 12 26W	86610	999	999	False
5106	0-20000-0-86861	DIAMANTE DO NORTE	-22.639444444444443	-52.890277777777776	363.5	Surface land meteorological station (SYNOP), GOS	22 38 22S	052 53 25W	86861	999	999	False
5107	0-20000-0-83538	DIAMANTINA (83538-0)	-18.25	-43.6	1297.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	18 15 00S	043 36 00W	83538	999	999	False
5108	0-20000-0-86781	DIAMANTINA (86781-0)	-18.230833333333333	-43.647777777777776	1357.5	Surface land meteorological station (SYNOP), GOS	18 13 51S	043 38 52W	86781	999	999	False
5109	0-20000-0-83309	DIAMANTINO	-14.4	-56.45	286.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	14 24 00S	056 27 00W	83309	999	999	False
5110	0-20000-0-86632	DIANOPOLIS	-11.594166666666668	-46.84722222222222	733.5	Surface land meteorological station (SYNOP), GOS	11 35 39S	046 50 50W	86632	999	999	False
5111	0-20000-0-86936	DIONISIO CERQUEIRA	-26.28638888888889	-53.632777777777775	811.5	Surface land meteorological station (SYNOP), GOS	26 17 11S	053 37 58W	86936	999	999	False
5112	0-20000-0-83635	DIVINOPOLIS	-20.166666666666668	-44.86666666666667	788.0	Surface land meteorological station (SYNOP), GOS	20 10 00S	044 52 00W	83635	999	999	False
