era5.1759.conv.1:62063	135
era5.1759.conv.2:12829	231
era5.1759.conv.1:72514	231
era5.1759.conv.1:47654	113
era5.1759.conv.2:93220	231
era5.1759.conv.6:20379	177
era5.1759.conv.2:33305	106
era5.1759.conv.2:43006	47
era5.1759.conv.6:20464	19
era5.1759.conv.2:14779	231
era5.1759.conv.2:26534	231
era5.1759.conv.2:14646	37
era5.1759.conv.2:31202	195
era5.1759.conv.2:23125	231
era5.1759.conv.2:23028	231
era5.1759.conv.6:20345	177
era5.1759.conv.2:12703	31
era5.1759.conv.1:78949	127
era5.1759.conv.2:43216	121
era5.1759.conv.6:22841	171
era5.1759.conv.2:13708	231
era5.1759.conv.1:41915	19
era5.1759.conv.2:3137	231
era5.1759.conv.2:93908	231
era5.1759.conv.2:93218	231
era5.1759.conv.1:63714	114
era5.1759.conv.1:31388	190
era5.1759.conv.2:12845	231
era5.1759.conv.1:62161	135
era5.1759.conv.1:67237	158
era5.1759.conv.2:23006	231
era5.1759.conv.2:3924	231
era5.1759.conv.2:14631	37
era5.1759.conv.6:20348	177
era5.1759.conv.2:41218	176
era5.1759.conv.2:23011	231
era5.1759.conv.2:14728	231
era5.1759.conv.1:74479	231
era5.1759.conv.1:97404	100
era5.1759.conv.1:81408	30
era5.1759.conv.2:43306	113
era5.1759.conv.1:72411	231
era5.1759.conv.1:63789	227
era5.1759.conv.2:33306	223
era5.1759.conv.2:13859	231
era5.1759.conv.1:47813	113
era5.1759.conv.2:11608	181
era5.1759.conv.2:24110	231
era5.1759.conv.1:13030	199
era5.1759.conv.1:6451	20
era5.1759.conv.2:33014	109
era5.1759.conv.2:34178	56
era5.1759.conv.2:26001	37
era5.1759.conv.1:13352	17
era5.1759.conv.1:87909	10
era5.1759.conv.1:54776	47
era5.1759.conv.2:23197	231
era5.1759.conv.1:71855	37
era5.1759.conv.1:63630	229
era5.1759.conv.1:72312	231
era5.1759.conv.2:22516	231
era5.1759.conv.1:41571	177
era5.1759.conv.1:62016	135
era5.1759.conv.2:10707	172
era5.1759.conv.1:72414	231
era5.1759.conv.2:33019	109
era5.1759.conv.2:22502	231
era5.1759.conv.1:84752	173
era5.1759.conv.1:59137	47
era5.1759.conv.2:32808	104
era5.1759.conv.2:12901	231
era5.1759.conv.2:3129	231
era5.1759.conv.2:33106	221
era5.1759.conv.2:31901	145
era5.1759.conv.1:7130	74
era5.1759.conv.1:74695	231
era5.1759.conv.1:53821	47
era5.1759.conv.2:93199	156
era5.1759.conv.1:60210	136
era5.1759.conv.2:42201	113
era5.1759.conv.1:96839	100
era5.1759.conv.6:22920	104
era5.1759.conv.1:72874	37
era5.1759.conv.1:47759	113
era5.1759.conv.1:80457	236
era5.1759.conv.1:59135	226
era5.1759.conv.1:82280	30
era5.1759.conv.2:31201	195
era5.1759.conv.1:72525	231
era5.1759.conv.1:67475	247
era5.1759.conv.2:34150	109
era5.1759.conv.2:13831	231
era5.1759.conv.1:71399	37
era5.1759.conv.1:62007	135
era5.1759.conv.2:12825	231
era5.1759.conv.2:25504	231
era5.1759.conv.1:87257	10
era5.1759.conv.2:12853	231
era5.1759.conv.6:20438	104
era5.1759.conv.2:13928	231
era5.1759.conv.2:61702	11
era5.1759.conv.2:24208	231
era5.1759.conv.1:81403	74
era5.1759.conv.2:13931	231
era5.1759.conv.2:93105	231
era5.1759.conv.1:72242	231
era5.1759.conv.1:87166	10
era5.1759.conv.1:67012	141
era5.1759.conv.1:67261	158
era5.1759.conv.1:72773	231
