	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
1101	0-20000-0-42473	0	1102	42473	3	BANDA			0	80.36666666666666	25.466666666666665		20170916	20211014	1	0	63	NMS	104	Banda									[104, 105, 106, 107, 117]							L.Haimberger	0	0.5		4.0	121.0	era5.conv._42473	OSCAR
1102	0-20000-0-94110	0	1103	94138	3	OENPELLI AIRPORT			0	133.00722222222225	-12.326944444444443		19790806	19811002	1	0	63	NMS	13	Darwin									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.7		239.5	8.9	era5.conv._94138	OSCAR
1103	0-20000-0-47115	0	1104	47115	3	ULLEUNGDO			0	130.8986111111111	37.481388888888894		20040218	20040218	1	0	63	NMS	121	Izumo									[104, 105, 106, 107, 117]							L.Haimberger	0	0.2		288.1	224.05	era5.conv._47115	OSCAR
1104	0-20000-0-47598	0	1105	47598	3	ONAHAMA			0	140.90333333333334	36.9475		19790501	19840805	1	0	63	NMS	113	Iwaki									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		11.2	5.07	era5.conv._47598	OSCAR
1105	0-20000-0-12992	0	1106	12992	3	BEKESCSABA			0	21.166666666666668	46.68333333333333		19910408	19910408	1	0	63	NMS	99	Bekescsaba									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	3.4		2.9	90.0	era5.conv._12992	OSCAR
1106	0-20000-0-38565	0	1107	38565	3	NURATA			0	65.68333333333334	40.55		19910330	19961225	1	0	63	NMS	233	Nurota									[104, 105, 106, 107, 117]							L.Haimberger	0	0.3		1.5	484.0	era5.conv._38565	OSCAR
1107	0-20000-0-42543	0	1108	42543	3	UDAIPUR			0	73.7	24.58333333333333		19810618	19811130	1	0	63	NMS	104	Nathdwara									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		40.9	586.0	era5.conv._42543	OSCAR
1108	0-20000-0-81001	0	1109	81001	3	GEORGETOWN (81001-0)			0	-58.15	6.8		19841011	19951115	1	0	63	NMS	93	Georgetown									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		1.8	2.0	era5.conv._81001	OSCAR
1109	0-20000-0-83687	0	1110	83687	3	LAVRAS			0	-45.0	-21.23333333333333		19890605	19890605	1	0	63	NMS	30	Lavras									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		0.4	919.0	era5.conv._83687	OSCAR
1110	0-20000-0-62620	0	1111	62620	3	STATION NO 6			0	32.55	20.75		19850427	19860226	1	0	63	NMS	195	Marawi									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		262.4	-999.0	era5.conv._62620	OSCAR
