	date	counts
1151	1995-12-01	20560
1152	1996-01-01	20590
1153	1996-02-01	18979
1154	1996-03-01	20188
1155	1996-04-01	20974
1156	1996-05-01	21606
1157	1996-06-01	20360
1158	1996-07-01	20847
1159	1996-08-01	19314
1160	1996-09-01	19638
1161	1996-10-01	20304
1162	1996-11-01	18704
1163	1996-12-01	19225
1164	1997-01-01	18846
1165	1997-02-01	16348
1166	1997-03-01	19267
1167	1997-04-01	19905
1168	1997-05-01	20598
1169	1997-06-01	19868
1170	1997-07-01	20273
1171	1997-08-01	20513
1172	1997-09-01	19763
1173	1997-10-01	19143
1174	1997-11-01	18565
1175	1997-12-01	18204
1176	1998-01-01	20837
1177	1998-02-01	18847
1178	1998-03-01	21334
1179	1998-04-01	20257
1180	1998-05-01	20578
1181	1998-06-01	19912
1182	1998-07-01	20475
1183	1998-08-01	20260
1184	1998-09-01	19590
1185	1998-10-01	20275
1186	1998-11-01	19575
1187	1998-12-01	19430
1188	1999-01-01	19290
1189	1999-02-01	17717
1190	1999-03-01	20075
1191	1999-04-01	19248
1192	1999-05-01	19850
1193	1999-06-01	18902
1194	1999-07-01	19229
1195	1999-08-01	18883
