	stat	lat	lon	raw	adj
495	INM00043311	11.1167	72.73		
496	INM00043333	11.6667	92.71	0.09217385996942924	1.2599228834069633
497	INM00043346	10.9167	79.83		
498	INM00043353	9.9333	76.23	1.5278359953890117	3.415820123731494
499	INM00043369	8.3	73.15	0.12284946236559167	2.720761338100665
500	INM00043371	8.4833	76.95	-0.1937255380667886	-0.45285012637867605
501	IOM00061967	-7.3	72.4		
502	IRM00040706	38.0833	46.28		
503	IRM00040745	36.2667	59.63	0.08614427191186697	0.2850335178604998
504	IRM00040754	35.6833	51.31	-0.21440019531249965	-0.3178445312500165
505	IRM00040766	34.35	47.15	-0.06185829517019329	0.32348417920996597
506	IRM00040800	32.5175	51.7		
507	IRM00040809	32.8667	59.2		
508	IRM00040811	31.3333	48.66		
509	IRM00040841	30.25	56.96		
510	IRM00040848	29.5333	52.6		
511	IRM00040856	29.4667	60.88		
512	IRM00040875	27.2167	56.36		
513	ISM00040179	32.0	34.81	-0.5038997214484682	-0.5818809870557802
514	ITM00016044	46.0333	13.18	0.02241134751773035	0.4078602199689977
515	ITM00016080	45.4614	9.28	-0.06875000000000005	0.45620287278121824
516	ITM00016113	44.5392	7.61	0.053563260105208434	-0.1597545253020389
517	ITM00016144	44.6539	11.62		
518	ITM00016242	41.8	12.23		
519	ITM00016245	41.67	12.45	-0.11906354515050203	-0.07069871066804773
520	ITM00016320	40.6603	17.95	-0.09097560975609727	-0.09097560975609727
521	ITM00016429	37.9142	12.49	-0.24059010190826852	-0.2608672949685939
522	ITM00016560	39.2436	9.06	-0.2701687022952215	-0.16454940515062258
523	IVM00065578	5.25	-3.93	0.20355450236966874	0.40256325961289546
524	IZM00040650	33.3	44.4		
525	JAM00047401	45.415	141.67	0.046180547078450866	-0.07663110521106577
526	JAM00047412	43.06	141.32	0.036514522821576106	-0.22974239365197804
527	JAM00047418	42.9531	144.43	0.13115671641791143	0.02305124766791225
528	JAM00047420	43.3333	145.58	0.4096330275229358	0.4096330275229358
529	JAM00047580	40.7053	141.37	0.23126720502028433	0.08547105605282507
530	JAM00047582	39.7175	140.09	0.18861111111111148	0.18861111111111148
531	JAM00047590	38.267	140.9		
532	JAM00047600	37.3914	136.89	0.2685693641618502	0.17862186762640525
533	JAM00047646	36.0581	140.12	0.19058171745152352	0.5610590123734038
534	JAM00047678	33.1217	139.77	0.1905062861918738	0.4000062837882685
535	JAM00047681	34.7503	137.7	0.3922544951590599	0.43804787283613317
536	JAM00047741	35.4572	133.06	0.18577075098814264	-0.10548901463685771
537	JAM00047744	35.4333	133.35	0.31570247933884327	0.31570247933884327
538	JAM00047778	33.4503	135.75	0.233116883116883	0.5135429085074918
539	JAM00047807	33.5822	130.37	0.12331033640894397	0.2696604424838522
540	JAM00047827	31.555	130.54	0.12151897875736146	0.0719156986886169
541	JAM00047881	34.133	134.6		
542	JAM00047909	28.3942	129.55	0.04748893072897494	0.38662892824786543
543	JAM00047918	24.3367	124.16	0.01827067669172976	0.12555459388214688
544	JAM00047931	26.35	127.75		
545	JAM00047936	26.2	127.68		
